ticker,strategy,region,latest_signal,latest_signal_date,final_price,total_return,buy_hold_return
6861.T,MFI,Asia,BUY,2026-06-01,76750.0,0.10584366474444323,0.41716709538231306
6861.T,OBV,Asia,BUY,2026-06-19,76750.0,-0.5182545474812555,0.41716709538231306
6861.T,VWAP,Asia,BUY,2026-04-10,76750.0,-0.22011878677401764,0.41716709538231306
6861.T,Supertrend,Asia,SELL,2026-06-11,76750.0,-0.06128794932818619,0.41716709538231306
6861.T,Parabolic_SAR,Asia,BUY,2026-06-19,76750.0,0.09565018621809868,0.41716709538231306
6861.T,Williams_R,Asia,BUY,2026-06-15,76750.0,0.46431279690331667,0.41716709538231306
6861.T,ROC_Momentum,Asia,BUY,2026-06-24,76750.0,-0.12602036444633705,0.41716709538231306
6861.T,Donchian_Channel,Asia,SELL,2026-06-11,76750.0,-0.212950822804136,0.41716709538231306
6861.T,Keltner_Channel,Asia,SELL,2026-06-23,76750.0,-0.21636568678667317,0.41716709538231306
6098.T,RSI,Asia,SELL,2026-06-19,11225.0,-0.06186726535351572,1.0807795537485991
6098.T,ADX_DI,Asia,SELL,2026-05-20,11225.0,-0.06523044960290736,1.0807795537485991
6098.T,ATR_Breakout,Asia,BUY,2026-05-19,11225.0,0.025418582097308354,1.0807795537485991
6098.T,SMA_Crossover,Asia,BUY,2026-06-05,11225.0,0.06176868266724523,1.0807795537485991
6098.T,EMA_Crossover,Asia,BUY,2026-04-08,11225.0,1.325134289145217,1.0807795537485991
6098.T,MACD,Asia,SELL,2026-06-12,11225.0,0.598754184838973,1.0807795537485991
6098.T,Bollinger_Mean_Reversion,Asia,SELL,2026-06-24,11225.0,-0.2155874986041732,1.0807795537485991
6098.T,Stochastic,Asia,SELL,2026-05-29,11225.0,-0.48158325870560637,1.0807795537485991
6098.T,CCI,Asia,SELL,2026-06-19,11225.0,-0.17580592230284584,1.0807795537485991
6098.T,MFI,Asia,SELL,2026-06-11,11225.0,-0.10875336642569783,1.0807795537485991
6098.T,OBV,Asia,BUY,2026-04-15,11225.0,0.3168330889537279,1.0807795537485991
6098.T,VWAP,Asia,SELL,2026-03-30,11225.0,0.04625974221762208,1.0807795537485991
6098.T,Supertrend,Asia,BUY,2026-04-02,11225.0,1.0581232463451127,1.0807795537485991
6098.T,Parabolic_SAR,Asia,SELL,2026-06-12,11225.0,0.4584428841851315,1.0807795537485991
6098.T,Williams_R,Asia,BUY,2026-06-19,11225.0,-0.20474553538657528,1.0807795537485991
6098.T,ROC_Momentum,Asia,BUY,2026-06-23,11225.0,0.4157725715956405,1.0807795537485991
6098.T,Donchian_Channel,Asia,BUY,2026-04-02,11225.0,1.7035075621327571,1.0807795537485991
6098.T,Keltner_Channel,Asia,BUY,2026-04-20,11225.0,0.13317678826639495,1.0807795537485991
4063.T,RSI,Asia,SELL,2026-06-18,7100.0,0.5295096220818454,1.1183792726098505
4063.T,ADX_DI,Asia,SELL,2026-06-24,7100.0,-0.14070268744981204,1.1183792726098505
4063.T,ATR_Breakout,Asia,SELL,2026-05-15,7100.0,-0.08437235648081769,1.1183792726098505
4063.T,SMA_Crossover,Asia,BUY,2025-10-14,7100.0,1.604642159993672,1.1183792726098505
4063.T,EMA_Crossover,Asia,BUY,2026-06-16,7100.0,-0.03572213845769002,1.1183792726098505
4063.T,MACD,Asia,SELL,2026-06-22,7100.0,0.046756127031672805,1.1183792726098505
4063.T,Bollinger_Mean_Reversion,Asia,SELL,2026-06-18,7100.0,1.1675773654308363,1.1183792726098505
4063.T,Stochastic,Asia,BUY,2026-06-11,7100.0,0.8906322135184335,1.1183792726098505
4063.T,CCI,Asia,SELL,2026-06-22,7100.0,1.198898025642312,1.1183792726098505
4063.T,MFI,Asia,SELL,2026-03-03,7100.0,0.4057121120401589,1.1183792726098505
4063.T,OBV,Asia,SELL,2026-06-19,7100.0,-0.09171479452540353,1.1183792726098505
4063.T,VWAP,Asia,SELL,2025-11-18,7100.0,-0.021634799475110232,1.1183792726098505
4063.T,Supertrend,Asia,SELL,2026-06-08,7100.0,-0.08742155553338417,1.1183792726098505
4063.T,Parabolic_SAR,Asia,BUY,2026-06-17,7100.0,0.07417315036902601,1.1183792726098505
4063.T,Williams_R,Asia,BUY,2026-06-12,7100.0,0.8812905245504505,1.1183792726098505
4063.T,ROC_Momentum,Asia,BUY,2026-06-24,7100.0,-0.03294830905117033,1.1183792726098505
4063.T,Donchian_Channel,Asia,SELL,2026-06-10,7100.0,0.046807882946490645,1.1183792726098505
4063.T,Keltner_Channel,Asia,SELL,2026-06-24,7100.0,-0.0860116658858975,1.1183792726098505
6501.T,RSI,Asia,SELL,2026-06-09,4691.0,0.5976355118244538,2.9118706421929628
6501.T,ADX_DI,Asia,SELL,2026-06-24,4691.0,-0.07597124612880052,2.9118706421929628
6501.T,ATR_Breakout,Asia,SELL,2026-04-30,4691.0,-0.38264852500207114,2.9118706421929628
6501.T,SMA_Crossover,Asia,BUY,2025-06-26,4691.0,1.7576303468803067,2.9118706421929628
6501.T,EMA_Crossover,Asia,SELL,2026-06-11,4691.0,0.28962673722414184,2.9118706421929628
6501.T,MACD,Asia,SELL,2026-06-09,4691.0,-0.13648543447933661,2.9118706421929628
6501.T,Bollinger_Mean_Reversion,Asia,BUY,2026-06-15,4691.0,0.3316263747598965,2.9118706421929628
6501.T,Stochastic,Asia,BUY,2026-05-08,4691.0,0.9072443196532455,2.9118706421929628
