ticker,strategy,total_return,annualized_return,sharpe_ratio,max_drawdown,num_trades,avg_trade_return,best_trade,worst_trade,win_rate,profit_factor,exposure_time,buy_hold_return,excess_return,latest_signal,latest_signal_date,final_price,final_portfolio_value,start_date,end_date,initial_capital,region
GEV,MACD,1.1764276173439083,0.4145686486186362,0.7413217857585108,-0.37251074584704236,24,0.04561955174915586,0.570258060578377,-0.21878422792197,0.4166666666666667,2.279043538919479,0.48717948717948717,7.092339846706571,-5.915912229362663,BUY,2026-06-17,1057.6500244140625,21764.276173439084,2024-03-27,2026-06-24,10000,US
GEV,Bollinger_Mean_Reversion,0.22187631721111264,0.0934819083322036,0.13805896564889794,-0.2209099431714198,6,0.037180096875009394,0.11697457469222071,-0.046874074451292734,0.8333333333333334,5.759146369532296,0.0695970695970696,7.092339846706571,-6.870463529495458,SELL,2026-06-24,1057.6500244140625,12218.763172111127,2024-03-27,2026-06-24,10000,US
GEV,Stochastic,0.360475684497383,0.14715518400991856,0.2389011605678614,-0.11382861827235136,2,0.12397910588952034,0.1414550220887653,0.10650318969027539,1.0,0.24795821177904068,0.04884004884004884,7.092339846706571,-6.731864162209187,BUY,2026-06-03,1057.6500244140625,13604.75684497383,2024-03-27,2026-06-24,10000,US
GEV,CCI,0.4045039658887301,0.16356572963083282,0.26973355190852777,-0.14186440181673143,15,0.026296640501103846,0.09459415046510188,-0.0757825370675453,0.7333333333333333,3.095936647561347,0.15873015873015872,7.092339846706571,-6.687835880817841,SELL,2026-06-23,1057.6500244140625,14045.0396588873,2024-03-27,2026-06-24,10000,US
GEV,MFI,0.7024296936651084,0.2677980677445295,0.4655669089041929,-0.2098262302285689,2,0.31113439986367286,0.41021489068246986,0.21205390904487584,1.0,0.6222687997273457,0.27594627594627597,7.092339846706571,-6.389910153041463,SELL,2026-04-24,1057.6500244140625,17024.296936651084,2024-03-27,2026-06-24,10000,US
GEV,OBV,2.3246890055614116,0.7087780974452751,1.2940871277459223,-0.4278763648164487,35,0.05210103362896382,1.2034181283320178,-0.16443438259498025,0.37142857142857144,3.3044661337487446,0.6007326007326007,7.092339846706571,-4.767650841145159,BUY,2026-06-17,1057.6500244140625,33246.890055614116,2024-03-27,2026-06-24,10000,US
GEV,VWAP,0.0,0.0,-0.03757631470994155,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.092339846706571,-7.092339846706571,SELL,2024-04-15,1057.6500244140625,10000.0,2024-03-27,2026-06-24,10000,US
GEV,Supertrend,2.4122754865416565,0.7287095934658157,1.3315347361013112,-0.2460762636162041,6,0.28370435995999305,0.862097320219658,-0.09248815821850394,0.8333333333333334,19.404801139389505,0.5384615384615384,7.092339846706571,-4.680064360164915,BUY,2026-06-18,1057.6500244140625,34122.754865416566,2024-03-27,2026-06-24,10000,US
GEV,Parabolic_SAR,1.4477317526614435,0.4906554495383164,0.8842748645900396,-0.28303333162109223,24,0.04697553260434084,0.5767208900366722,-0.07429628951486564,0.4583333333333333,2.7451807639764074,0.5653235653235653,7.092339846706571,-5.644608094045127,BUY,2026-06-16,1057.6500244140625,24477.317526614435,2024-03-27,2026-06-24,10000,US
GEV,Williams_R,0.41786448006960725,0.1684890390560887,0.2789835431274196,-0.2983636063402936,14,0.03001860919050866,0.2268005402204572,-0.13430085614457787,0.6428571428571429,3.183016458681574,0.3443223443223443,7.092339846706571,-6.674475366636964,SELL,2026-06-23,1057.6500244140625,14178.644800696073,2024-03-27,2026-06-24,10000,US
GEV,ROC_Momentum,1.27218172439992,0.4419930280942528,0.7928471414535424,-0.43792726658334113,43,0.02937777606766116,0.8823361713769777,-0.09134765391565479,0.3488372093023256,2.1433924578227757,0.6349206349206349,7.092339846706571,-5.82015812230665,BUY,2026-06-17,1057.6500244140625,22721.8172439992,2024-03-27,2026-06-24,10000,US
GEV,Donchian_Channel,2.318953715493677,0.70746286042963,1.29161603974502,-0.2460762636162041,7,0.23414040382392262,0.7517520873694407,-0.05852489055663878,0.8571428571428571,29.00488495029813,0.5128205128205128,7.092339846706571,-4.773386131212893,BUY,2026-06-22,1057.6500244140625,33189.53715493677,2024-03-27,2026-06-24,10000,US
GEV,Keltner_Channel,1.7323084278831138,0.5655951375247616,1.0250727295922142,-0.24607626361620405,7,0.20286458100338717,0.6820216423096361,-0.08697185473916537,0.7142857142857143,10.760026343796584,0.4078144078144078,7.092339846706571,-5.360031418823457,BUY,2026-06-22,1057.6500244140625,27323.08427883114,2024-03-27,2026-06-24,10000,US
GE,RSI,0.17476212272127015,0.03281519831123436,0.04118594570644626,-0.19142034382533163,17,0.012675224014771582,0.13826278687795054,-0.04232807008017061,0.5294117647058824,2.038892685607326,0.14105378704720087,4.825649104203916,-4.650886981482646,SELL,2026-06-23,365.8800048828125,11747.621227212701,2021-06-28,2026-06-24,10000,US
GE,ADX_DI,1.4695417429112572,0.19868877325105694,0.5742764126418465,-0.18675653030096484,23,0.049405129576064244,0.5357786411392117,-0.0844192979728541,0.4782608695652174,4.774120690244992,0.26180021953896815,4.825649104203916,-3.3561073612926586,SELL,2026-05-29,365.8800048828125,24695.41742911257,2021-06-28,2026-06-24,10000,US
GE,ATR_Breakout,1.402189002144232,0.19206241688788306,0.552980389999263,-0.1535430195342316,12,0.08443307509593673,0.4859529442014656,-0.06505912507711899,0.5833333333333334,5.683622808262835,0.283205268935236,4.825649104203916,-3.4234601020596838,BUY,2026-06-16,365.8800048828125,24021.89002144232,2021-06-28,2026-06-24,10000,US
GE,SMA_Crossover,5.022493525151624,0.43324042753981695,1.3280869635426034,-0.21364262257290031,1,4.813257252582901,4.813257252582901,4.813257252582901,1.0,4.813257252582901,0.6849615806805708,4.825649104203916,0.19684442094770827,BUY,2026-06-17,365.8800048828125,60224.935251516246,2021-06-28,2026-06-24,10000,US
GE,EMA_Crossover,1.406534361627073,0.19249437889782595,0.5543686450583486,-0.37104947611400674,24,0.0498663934327473,0.6898790294871373,-0.12351223084984755,0.25,2.409021310211543,0.6498353457738749,4.825649104203916,-3.419114742576843,BUY,2026-05-26,365.8800048828125,24065.34361627073,2021-06-28,2026-06-24,10000,US
GE,MACD,0.48318483744267016,0.08222838732798854,0.19999183154609973,-0.41458645296245467,56,0.009271434497748258,0.2969276471593344,-0.13513509398752058,0.2857142857142857,1.3830228367305992,0.4747530186608123,4.825649104203916,-4.342464266761246,BUY,2026-05-21,365.8800048828125,14831.848374426701,2021-06-28,2026-06-24,10000,US
GE,Bollinger_Mean_Reversion,0.3195492548846423,0.05716141153589627,0.11943068228219315,-0.1351946254533627,18,0.01836670152012323,0.09372896737958851,-0.07221458241227986,0.7222222222222222,3.2970057869049145,0.14709110867178923,4.825649104203916,-4.506099849319273,SELL,2026-06-24,365.8800048828125,13195.492548846423,2021-06-28,2026-06-24,10000,US
GE,Stochastic,0.8945972345511429,0.13666594117630648,0.37494520196902004,-0.21665922970453877,13,0.054862359350986836,0.1941076274840526,-0.048787061278896246,0.6923076923076923,10.071697095346929,0.2738748627881449,4.825649104203916,-3.931051869652773,SELL,2026-06-17,365.8800048828125,18945.97234551143,2021-06-28,2026-06-24,10000,US
GE,CCI,1.3405410242497564,0.1858658020454802,0.5330654861277223,-0.19591216041108062,27,0.036364082426613986,0.27836435595863784,-0.03140592029376416,0.6666666666666666,6.294864171480182,0.3194291986827662,4.825649104203916,-3.4851080799541596,SELL,2026-06-08,365.8800048828125,23405.410242497564,2021-06-28,2026-06-24,10000,US
GE,MFI,0.4653928343984071,0.07961331880136213,0.1915874301673202,-0.22342639636589662,3,0.15049471993269675,0.38013388642034934,-0.031064085895068365,0.6666666666666666,15.533959290582777,0.17288693743139408,4.825649104203916,-4.360256269805509,SELL,2026-06-08,365.8800048828125,14653.928343984071,2021-06-28,2026-06-24,10000,US
GE,OBV,1.095826037037329,0.15990111261927198,0.44961923246693536,-0.32427136563776465,91,0.009979798651375377,0.27299559531447304,-0.09961918784337245,0.34065934065934067,1.728441841366577,0.5960482985729967,4.825649104203916,-3.729823067166587,BUY,2026-05-26,365.8800048828125,20958.26037037329,2021-06-28,2026-06-24,10000,US
GE,VWAP,5.309433044992793,0.44667600752614667,1.371266714211502,-0.21364262257290037,3,-0.010304853592918111,0.014806179843133115,-0.03587140903738112,0.3333333333333333,0.3238394575796766,0.008781558726673985,4.825649104203916,0.4837839407888769,BUY,2023-01-05,365.8800048828125,63094.330449927926,2021-06-28,2026-06-24,10000,US
GE,Supertrend,1.9904997494509713,0.24557733832233897,0.7249685711538271,-0.2605320669137519,17,0.07613059064822662,0.6898790294871373,-0.14750681295470225,0.5294117647058824,3.1692917559107565,0.5521405049396267,4.825649104203916,-2.8351493547529447,BUY,2026-05-27,365.8800048828125,29904.997494509713,2021-06-28,2026-06-24,10000,US
GE,Parabolic_SAR,0.7921974646034127,0.12407523909901297,0.33448075034154434,-0.39593964421118644,60,0.01320717768436413,0.29441511870406756,-0.11084544901945154,0.4166666666666667,1.6845750757523776,0.5938529088913282,4.825649104203916,-4.033451639600504,BUY,2026-06-12,365.8800048828125,17921.974646034127,2021-06-28,2026-06-24,10000,US
GE,Williams_R,1.542206392824665,0.20567762231304276,0.5967374273703631,-0.2940829110342387,32,0.034270012837632646,0.258053897836406,-0.15361249032703747,0.78125,3.9787389049315047,0.3765093304061471,4.825649104203916,-3.283442711379251,SELL,2026-06-10,365.8800048828125,25422.06392824665,2021-06-28,2026-06-24,10000,US
GE,ROC_Momentum,1.780963579293351,0.22757005651452356,0.6670961205802606,-0.3349578990145593,73,0.018036997135235974,0.5444904656974127,-0.09643794041053921,0.4520547945205479,2.0794205471195326,0.5998902305159166,4.825649104203916,-3.044685524910565,BUY,2026-05-27,365.8800048828125,27809.63579293351,2021-06-28,2026-06-24,10000,US
GE,Donchian_Channel,1.8623300954932875,0.23468738924656996,0.6899700607532973,-0.28158140312015284,16,0.07864252658776597,0.6196282802700708,-0.14750681295470225,0.5,3.2734407326338926,0.5038419319429198,4.825649104203916,-2.9633190087106285,BUY,2026-05-27,365.8800048828125,28623.300954932874,2021-06-28,2026-06-24,10000,US
GE,Keltner_Channel,1.457045901531876,0.19747040744517497,0.5703607847511992,-0.20031817853998973,18,0.05232665207979869,0.4183118908342078,-0.11084544901945154,0.5555555555555556,3.4987407791336977,0.33699231613611413,4.825649104203916,-3.3686032026720403,BUY,2026-05-27,365.8800048828125,24570.45901531876,2021-06-28,2026-06-24,10000,US
GILD,RSI,-0.16894445414664805,-0.03641836046165914,-0.23333568258553716,-0.29897456778240733,20,-0.006434698497397373,0.06053307062140485,-0.07818319492176579,0.45,0.6687635858826805,0.216794731064764,1.2188770015068913,-1.3878214556535393,SELL,2026-06-01,125.16000366210938,8310.55545853352,2021-06-28,2026-06-24,10000,US
GILD,ADX_DI,-0.14514657985744417,-0.030949172400976277,-0.21071615378523892,-0.19582737933969302,24,-0.004006045860287631,0.09708592075273842,-0.06521419527858072,0.375,0.6997362292006276,0.19703622392974754,1.2188770015068913,-1.3640235813643353,SELL,2026-06-12,125.16000366210938,8548.534201425558,2021-06-28,2026-06-24,10000,US
